frame_number,0_x,0_y,0_z,0_visibility,1_x,1_y,1_z,1_visibility,2_x,2_y,2_z,2_visibility,3_x,3_y,3_z,3_visibility,4_x,4_y,4_z,4_visibility,5_x,5_y,5_z,5_visibility,6_x,6_y,6_z,6_visibility,7_x,7_y,7_z,7_visibility,8_x,8_y,8_z,8_visibility,9_x,9_y,9_z,9_visibility,10_x,10_y,10_z,10_visibility,11_x,11_y,11_z,11_visibility,12_x,12_y,12_z,12_visibility,13_x,13_y,13_z,13_visibility,14_x,14_y,14_z,14_visibility,15_x,15_y,15_z,15_visibility,16_x,16_y,16_z,16_visibility,17_x,17_y,17_z,17_visibility,18_x,18_y,18_z,18_visibility,19_x,19_y,19_z,19_visibility,20_x,20_y,20_z,20_visibility,21_x,21_y,21_z,21_visibility,22_x,22_y,22_z,22_visibility,23_x,23_y,23_z,23_visibility,24_x,24_y,24_z,24_visibility,25_x,25_y,25_z,25_visibility,26_x,26_y,26_z,26_visibility,27_x,27_y,27_z,27_visibility,28_x,28_y,28_z,28_visibility,29_x,29_y,29_z,29_visibility,30_x,30_y,30_z,30_visibility,31_x,31_y,31_z,31_visibility,32_x,32_y,32_z,32_visibility
1,0.5904844403266907,0.4302019476890564,0.0,0.996300458908081,0.5926893949508667,0.42181849479675293,0.0,0.9984920024871826,0.5934499502182007,0.4215766191482544,0.0,0.9983426332473755,0.5943622589111328,0.42131081223487854,0.0,0.9987228512763977,0.5919954776763916,0.4217248260974884,0.0,0.9958723187446594,0.5922227501869202,0.4214310646057129,0.0,0.9942330718040466,0.5925053954124451,0.4210910499095917,0.0,0.9946696162223816,0.6001619100570679,0.4232741594314575,0.0,0.9982020854949951,0.5974875092506409,0.4228072762489319,0.0,0.990805447101593,0.59333336353302,0.4363504648208618,0.0,0.9972884654998779,0.5924117565155029,0.4361829161643982,0.0,0.9942928552627563,0.6044739484786987,0.4620833396911621,0.0,0.9998816251754761,0.6032170057296753,0.45285940170288086,0.0,0.9965648055076599,0.5877379775047302,0.5087177753448486,0.0,0.9958053827285767,0.5936211347579956,0.38169366121292114,0.0,0.7192772626876831,0.5679829120635986,0.542011559009552,0.0,0.9749270677566528,0.5972709655761719,0.3260763883590698,0.0,0.7449330687522888,0.5627289414405823,0.5484372973442078,0.0,0.9485008716583252,0.5974023938179016,0.31559494137763977,0.0,0.6449270248413086,0.5613616108894348,0.5464715957641602,0.0,0.9463764429092407,0.5970544815063477,0.31309378147125244,0.0,0.6392606496810913,0.5635092258453369,0.5447820425033569,0.0,0.9099529981613159,0.5961964130401611,0.31643593311309814,0.0,0.6521869897842407,0.6008036732673645,0.5651513338088989,0.0,0.9995909333229065,0.5985777974128723,0.5541431307792664,0.0,0.9988701939582825,0.6014477610588074,0.624821662902832,0.0,0.8723453283309937,0.5987396240234375,0.6080888509750366,0.0,0.1572587639093399,0.6041193604469299,0.6923683881759644,0.0,0.8319610953330994,0.600516140460968,0.6708385348320007,0.0,0.2561766505241394,0.6088088154792786,0.7043956518173218,0.0,0.8619134426116943,0.6044527888298035,0.6854555010795593,0.0,0.48607879877090454,0.5868289470672607,0.7017343044281006,0.0,0.8451406955718994,0.5832308530807495,0.6837771534919739,0.0,0.47762495279312134
2,0.5904794335365295,0.4289701581001282,0.0,0.9941928386688232,0.5927066206932068,0.42114701867103577,0.0,0.9967554211616516,0.593458354473114,0.420968234539032,0.0,0.9969130754470825,0.594362199306488,0.42077523469924927,0.0,0.9975296258926392,0.5920635461807251,0.42098256945610046,0.0,0.992062509059906,0.5923352837562561,0.42068421840667725,0.0,0.9899735450744629,0.5926734209060669,0.42034438252449036,0.0,0.9907820820808411,0.6002322435379028,0.42324578762054443,0.0,0.9964012503623962,0.5979658961296082,0.42277708649635315,0.0,0.9817970395088196,0.5933166742324829,0.43555763363838196,0.0,0.9950923919677734,0.5924125909805298,0.4353182911872864,0.0,0.990678608417511,0.6044038534164429,0.4605628550052643,0.0,0.999864399433136,0.6032799482345581,0.4530898928642273,0.0,0.9960120916366577,0.587758481502533,0.5085946917533875,0.0,0.9947566986083984,0.5937194228172302,0.49851134419441223,0.0,0.6556332111358643,0.5673508644104004,0.5418518781661987,0.0,0.9714486598968506,0.5797156095504761,0.5254364013671875,0.0,0.6823207139968872,0.5623168349266052,0.5484027862548828,0.0,0.9428990483283997,0.5763162970542908,0.5344351530075073,0.0,0.593291699886322,0.5609909296035767,0.5461345911026001,0.0,0.9404910206794739,0.5731009840965271,0.533771276473999,0.0,0.5887779593467712,0.5629533529281616,0.544316291809082,0.0,0.9018701314926147,0.5743945837020874,0.5321959853172302,0.0,0.6003348231315613,0.5996915102005005,0.563793420791626,0.0,0.9992221593856812,0.5982654690742493,0.5540375709533691,0.0,0.9976523518562317,0.6012620329856873,0.6256428360939026,0.0,0.8667334914207458,0.5986270904541016,0.611686646938324,0.0,0.16038231551647186,0.6041082143783569,0.6924772262573242,0.0,0.8370739221572876,0.5999752879142761,0.674176812171936,0.0,0.26146408915519714,0.6087409257888794,0.7070369124412537,0.0,0.8637346029281616,0.6042420864105225,0.6870922446250916,0.0,0.4844241738319397,0.5852373838424683,0.7041788101196289,0.0,0.8497079014778137,0.5822420120239258,0.684695839881897,0.0,0.48320603370666504
3,0.5904301404953003,0.42845427989959717,0.0,0.9932280778884888,0.5927065014839172,0.42097753286361694,0.0,0.9957718253135681,0.5934600830078125,0.42081037163734436,0.0,0.9961098432540894,0.5943605303764343,0.42062389850616455,0.0,0.996898889541626,0.5920637845993042,0.42074546217918396,0.0,0.9898878335952759,0.5923420190811157,0.4204162657260895,0.0,0.9876080751419067,0.5926976203918457,0.42002570629119873,0.0,0.9886976480484009,0.6001973152160645,0.4232228994369507,0.0,0.9954317212104797,0.5979938507080078,0.42262381315231323,0.0,0.9768080711364746,0.5931931734085083,0.43482425808906555,0.0,0.9942819476127625,0.592241108417511,0.43449866771698,0.0,0.9891987442970276,0.6042400002479553,0.45972320437431335,0.0,0.9998666048049927,0.6030802726745605,0.45305320620536804,0.0,0.9960353970527649,0.5875989198684692,0.5086905360221863,0.0,0.9942545890808105,0.5932286381721497,0.5017144083976746,0.0,0.6038580536842346,0.5673567056655884,0.541720986366272,0.0,0.9702475070953369,0.5770923495292664,0.528131365776062,0.0,0.6347625851631165,0.5619878768920898,0.5485538244247437,0.0,0.9408184289932251,0.5724755525588989,0.5353760123252869,0.0,0.5545515418052673,0.5607298612594604,0.5461311340332031,0.0,0.9383984804153442,0.5699681043624878,0.5356070399284363,0.0,0.5512735247612,0.5626809000968933,0.5442214012145996,0.0,0.8989783525466919,0.572544515132904,0.5341236591339111,0.0,0.5609248280525208,0.5990768671035767,0.5632380843162537,0.0,0.9990708827972412,0.5976487994194031,0.5534856915473938,0.0,0.9971386194229126,0.6009678840637207,0.6256262063980103,0.0,0.8648537993431091,0.5983017683029175,0.612447202205658,0.0,0.16868454217910767,0.6041058301925659,0.6911811232566833,0.0,0.8432267904281616,0.5997494459152222,0.6732119917869568,0.0,0.27279409766197205,0.6087471842765808,0.7061501145362854,0.0,0.8645510077476501,0.6041406393051147,0.6844107508659363,0.0,0.4870133697986603,0.5842734575271606,0.7040134072303772,0.0,0.855466902256012,0.5822650790214539,0.6842430830001831,0.0,0.496916264295578
4,0.5903483033180237,0.4285205006599426,0.0,0.9915102124214172,0.5926610231399536,0.42102766036987305,0.0,0.9940163493156433,0.5934370756149292,0.4208891689777374,0.0,0.9947287440299988,0.5943379402160645,0.4207369387149811,0.0,0.9958022236824036,0.5920126438140869,0.4207610785961151,0.0,0.9860236048698425,0.5923043489456177,0.42042970657348633,0.0,0.9835338592529297,0.5926757454872131,0.4200375974178314,0.0,0.9849557280540466,0.6000543832778931,0.42328208684921265,0.0,0.9938192963600159,0.5979185104370117,0.4225216209888458,0.0,0.9680165648460388,0.592944860458374,0.43482983112335205,0.0,0.9928236603736877,0.5919522047042847,0.43452194333076477,0.0,0.9862480759620667,0.6041920781135559,0.4598359763622284,0.0,0.9998685121536255,0.6018847227096558,0.4532182514667511,0.0,0.9960575103759766,0.587304949760437,0.509022057056427,0.0,0.9939515590667725,0.5906946063041687,0.5000987648963928,0.0,0.5591526627540588,0.5669337511062622,0.5417099595069885,0.0,0.9697554707527161,0.5756781101226807,0.5240498781204224,0.0,0.5967846512794495,0.5613516569137573,0.548751175403595,0.0,0.9397412538528442,0.5693853497505188,0.532152533531189,0.0,0.5238353610038757,0.5603001117706299,0.5461730360984802,0.0,0.9373330473899841,0.5674826502799988,0.533113956451416,0.0,0.5217832326889038,0.5617800951004028,0.5442988276481628,0.0,0.8973384499549866,0.5704811811447144,0.5318462252616882,0.0,0.5295374393463135,0.5991366505622864,0.5625717043876648,0.0,0.9988647699356079,0.596238911151886,0.553399384021759,0.0,0.9965577721595764,0.6005010604858398,0.6256489753723145,0.0,0.8627164959907532,0.5972716212272644,0.6139487624168396,0.0,0.17854449152946472,0.6039511561393738,0.6896792650222778,0.0,0.8492705821990967,0.5995064377784729,0.6709089279174805,0.0,0.28804099559783936,0.6082893013954163,0.7026722431182861,0.0,0.8655413389205933,0.6037917733192444,0.6821928024291992,0.0,0.4926663041114807,0.5844235420227051,0.702277660369873,0.0,0.8612433671951294,0.5829845666885376,0.6820712685585022,0.0,0.5140888690948486
5,0.5903483033180237,0.4286814033985138,0.0,0.9905501008033752,0.5926578044891357,0.4211328625679016,0.0,0.9929765462875366,0.5934372544288635,0.42102470993995667,0.0,0.9938790202140808,0.5943426489830017,0.4209093749523163,0.0,0.9951282739639282,0.5920016765594482,0.42083728313446045,0.0,0.9838921427726746,0.5922884345054626,0.4205193519592285,0.0,0.9814750552177429,0.5926603674888611,0.4201536476612091,0.0,0.9832382202148438,0.6000357270240784,0.42346420884132385,0.0,0.9927034974098206,0.5978858470916748,0.42256367206573486,0.0,0.9635743498802185,0.5929344296455383,0.43506333231925964,0.0,0.9920117855072021,0.5919426679611206,0.4346374571323395,0.0,0.984781801700592,0.6041664481163025,0.46059685945510864,0.0,0.9998693466186523,0.6015180349349976,0.4545729458332062,0.0,0.9961850047111511,0.5868543982505798,0.5095089673995972,0.0,0.9932880997657776,0.588796854019165,0.5028975605964661,0.0,0.5222979784011841,0.5669425129890442,0.541938841342926,0.0,0.9679257273674011,0.5731160640716553,0.5282428860664368,0.0,0.5688318014144897,0.5619006752967834,0.5492478013038635,0.0,0.9365512728691101,0.5670791864395142,0.5363472104072571,0.0,0.5016393661499023,0.5607119798660278,0.5468997359275818,0.0,0.9341188669204712,0.5665797591209412,0.536803126335144,0.0,0.5009714961051941,0.5620887279510498,0.5450803637504578,0.0,0.892998993396759,0.5682291984558105,0.5356840491294861,0.0,0.5069800615310669,0.5991612672805786,0.5614007115364075,0.0,0.9986681342124939,0.5959676504135132,0.5532727837562561,0.0,0.996070146560669,0.5994744300842285,0.6253341436386108,0.0,0.8590664863586426,0.5965787172317505,0.6138464212417603,0.0,0.18649305403232574,0.6040289402008057,0.6878723502159119,0.0,0.8554450273513794,0.5995052456855774,0.6673710942268372,0.0,0.3015642762184143,0.6083142757415771,0.6986852288246155,0.0,0.8668364882469177,0.6037219762802124,0.6775302290916443,0.0,0.5002337098121643,0.585353434085846,0.7004953026771545,0.0,0.8673117160797119,0.58432936668396,0.6789504885673523,0.0,0.5314241051673889
6,0.5904135704040527,0.4285140931606293,0.0,0.9903527498245239,0.592734694480896,0.4211277365684509,0.0,0.9926608204841614,0.593509316444397,0.42102089524269104,0.0,0.9936543107032776,0.5944309830665588,0.4209092855453491,0.0,0.9949026703834534,0.5920732617378235,0.42083317041397095,0.0,0.9836418628692627,0.5923473834991455,0.4205159842967987,0.0,0.9814638495445251,0.5927140712738037,0.42015767097473145,0.0,0.9831835031509399,0.6000393629074097,0.4234703481197357,0.0,0.9925231337547302,0.5978841185569763,0.42256131768226624,0.0,0.9634420275688171,0.5929481983184814,0.4350771903991699,0.0,0.9919407367706299,0.5919841527938843,0.4346112012863159,0.0,0.9847558736801147,0.6042518019676208,0.46119219064712524,0.0,0.9998733401298523,0.6011264324188232,0.45576006174087524,0.0,0.9963932633399963,0.5868574380874634,0.5095837116241455,0.0,0.9924581050872803,0.5892053842544556,0.5024392604827881,0.0,0.48505377769470215,0.5683359503746033,0.5415043234825134,0.0,0.9653770923614502,0.5742851495742798,0.5268257260322571,0.0,0.5425447821617126,0.5637306571006775,0.5492491126060486,0.0,0.9324697256088257,0.5686026215553284,0.5353966355323792,0.0,0.4821573495864868,0.5625525712966919,0.5469229221343994,0.0,0.9299606680870056,0.5682054162025452,0.5355192422866821,0.0,0.4827125370502472,0.563653290271759,0.5450752377510071,0.0,0.8876661062240601,0.5704938769340515,0.533297061920166,0.0,0.48688483238220215,0.5999053716659546,0.5600912570953369,0.0,0.9986032247543335,0.5950313210487366,0.5530956983566284,0.0,0.995886504650116,0.5982533693313599,0.6245771050453186,0.0,0.8591827154159546,0.5940524339675903,0.6136401891708374,0.0,0.19797182083129883,0.6038382649421692,0.6878629326820374,0.0,0.8650133609771729,0.5971755981445312,0.6650893092155457,0.0,0.3223903477191925,0.608104407787323,0.6993131637573242,0.0,0.8714537620544434,0.6007713079452515,0.6745742559432983,0.0,0.5122108459472656,0.5854235887527466,0.7005300521850586,0.0,0.8761067986488342,0.5833030939102173,0.6792793869972229,0.0,0.5551528930664062
7,0.5902784466743469,0.4268224835395813,0.0,0.9909083843231201,0.5927215814590454,0.4202544391155243,0.0,0.993027925491333,0.5934886932373047,0.4202151298522949,0.0,0.9939898252487183,0.5943852663040161,0.4201480448246002,0.0,0.9951707720756531,0.5920421481132507,0.41989997029304504,0.0,0.9846682548522949,0.5923172235488892,0.41960448026657104,0.0,0.9826880097389221,0.5926848649978638,0.4192580282688141,0.0,0.9842591285705566,0.5998370051383972,0.4231104850769043,0.0,0.9930030703544617,0.5977105498313904,0.42217135429382324,0.0,0.9657883644104004,0.592818558216095,0.4336680471897125,0.0,0.9924680590629578,0.591861367225647,0.43300849199295044,0.0,0.9857357144355774,0.6037396192550659,0.4611545205116272,0.0,0.9998806118965149,0.6006369590759277,0.4562431871891022,0.0,0.9966012239456177,0.5875550508499146,0.5095783472061157,0.0,0.9920224547386169,0.5895214080810547,0.500268280506134,0.0,0.4473908543586731,0.5692211389541626,0.5414969325065613,0.0,0.9639995098114014,0.5752211213111877,0.5246948003768921,0.0,0.5131140947341919,0.5644477605819702,0.5492898225784302,0.0,0.930290699005127,0.5683398842811584,0.5335270762443542,0.0,0.45984113216400146,0.5633506774902344,0.5470215082168579,0.0,0.9276660680770874,0.5680831670761108,0.5331605076789856,0.0,0.4614112675189972,0.5644682049751282,0.5451573133468628,0.0,0.8848628997802734,0.570722222328186,0.5308046340942383,0.0,0.4645034372806549,0.5999508500099182,0.5578672289848328,0.0,0.9986380338668823,0.5950656533241272,0.5522988438606262,0.0,0.995888352394104,0.5967093706130981,0.6225200295448303,0.0,0.8633989691734314,0.5931272506713867,0.6116370558738708,0.0,0.21454204618930817,0.6038241982460022,0.6879708766937256,0.0,0.8750424981117249,0.5968616008758545,0.6619753837585449,0.0,0.34748759865760803,0.6081059575080872,0.6995787024497986,0.0,0.8762968182563782,0.6003756523132324,0.671947717666626,0.0,0.5264933109283447,0.5861197710037231,0.7004212141036987,0.0,0.8849756717681885,0.5841069221496582,0.6795332431793213,0.0,0.5797284245491028
8,0.5896083116531372,0.4269069731235504,0.0,0.9915000200271606,0.5921684503555298,0.4202995002269745,0.0,0.9933975338935852,0.5930073857307434,0.42028796672821045,0.0,0.9943281412124634,0.5938966274261475,0.42023611068725586,0.0,0.9954357147216797,0.5913708209991455,0.4199141561985016,0.0,0.985683023929596,0.5916252136230469,0.41962283849716187,0.0,0.9838776588439941,0.5919898748397827,0.419278621673584,0.0,0.9852878451347351,0.5990234613418579,0.4232615530490875,0.0,0.9934579133987427,0.5968431234359741,0.4222117066383362,0.0,0.967936098575592,0.5920537114143372,0.43359968066215515,0.0,0.9929905533790588,0.5909490585327148,0.4329451620578766,0.0,0.9867156744003296,0.6034711003303528,0.4616263806819916,0.0,0.9998874068260193,0.5982406139373779,0.4566415548324585,0.0,0.9968410730361938,0.5888941884040833,0.5096114873886108,0.0,0.9917262196540833,0.588019609451294,0.4999350607395172,0.0,0.4228445589542389,0.5706661939620972,0.5419328212738037,0.0,0.9637923836708069,0.5711822509765625,0.5298919081687927,0.0,0.504656970500946,0.566210150718689,0.5502509474754333,0.0,0.9302279949188232,0.5660630464553833,0.5377053022384644,0.0,0.4558705687522888,0.5650367140769958,0.5479741096496582,0.0,0.9275798797607422,0.5657804012298584,0.5375521779060364,0.0,0.4587026536464691,0.5659936666488647,0.5458365082740784,0.0,0.884803295135498,0.5672217607498169,0.5359655022621155,0.0,0.4605555236339569,0.6004807949066162,0.5549716949462891,0.0,0.998675525188446,0.5944218635559082,0.549364447593689,0.0,0.9959858655929565,0.5952788591384888,0.6190795302391052,0.0,0.8702107071876526,0.5918106436729431,0.608615517616272,0.0,0.2345067262649536,0.6034037470817566,0.6866983771324158,0.0,0.8851157426834106,0.5961216688156128,0.660259485244751,0.0,0.37706345319747925,0.6077386140823364,0.6980226039886475,0.0,0.8824374675750732,0.5995484590530396,0.6695254445075989,0.0,0.5420662760734558,0.5861181020736694,0.6994695663452148,0.0,0.8939277529716492,0.5827364921569824,0.6795009970664978,0.0,0.6051598191261292
9,0.5892610549926758,0.4269769787788391,0.0,0.9922165274620056,0.5918926000595093,0.4204687774181366,0.0,0.9939125180244446,0.5927906036376953,0.42049410939216614,0.0,0.9947748780250549,0.5936888456344604,0.4204791188240051,0.0,0.995788037776947,0.5909289121627808,0.4200507402420044,0.0,0.9869062304496765,0.5911382436752319,0.41978225111961365,0.0,0.9852688312530518,0.591458797454834,0.41947323083877563,0.0,0.9865318536758423,0.598757803440094,0.42352357506752014,0.0,0.9939950108528137,0.5962908864021301,0.4222671091556549,0.0,0.97060626745224,0.591823160648346,0.4336574971675873,0.0,0.9935895204544067,0.5905313491821289,0.43301913142204285,0.0,0.9878461360931396,0.6035000085830688,0.4628838300704956,0.0,0.9998944401741028,0.5965176820755005,0.45680665969848633,0.0,0.9970982074737549,0.5903695821762085,0.5103487372398376,0.0,0.9916436672210693,0.5865879654884338,0.49871817231178284,0.0,0.4076218008995056,0.5727885365486145,0.5426750779151917,0.0,0.9646974205970764,0.5703006982803345,0.5274531245231628,0.0,0.5107229351997375,0.5680779814720154,0.5510922074317932,0.0,0.9321411848068237,0.5658465623855591,0.536248505115509,0.0,0.46513041853904724,0.5664716958999634,0.5482425093650818,0.0,0.9295367002487183,0.5654587149620056,0.5365426540374756,0.0,0.4691624939441681,0.5675443410873413,0.5459608435630798,0.0,0.8877636194229126,0.5667717456817627,0.5343493819236755,0.0,0.4700804054737091,0.6011787056922913,0.5528193712234497,0.0,0.9987451434135437,0.5944272875785828,0.5463746786117554,0.0,0.9961884617805481,0.5939325094223022,0.6166975498199463,0.0,0.8781113028526306,0.591374933719635,0.6070312261581421,0.0,0.25220683217048645,0.6031302809715271,0.6849213242530823,0.0,0.8942669034004211,0.5958803296089172,0.6596476435661316,0.0,0.4006573557853699,0.6074881553649902,0.6954108476638794,0.0,0.8884093165397644,0.5992735624313354,0.6697510480880737,0.0,0.5536346435546875,0.5861195921897888,0.69969242811203,0.0,0.9018195867538452,0.5827606916427612,0.6781142950057983,0.0,0.624767541885376
10,0.5887845754623413,0.42702963948249817,0.0,0.9929220080375671,0.5913993120193481,0.42066600918769836,0.0,0.9944466352462769,0.5923019647598267,0.420709490776062,0.0,0.9952379465103149,0.5931733250617981,0.4207281470298767,0.0,0.9961603879928589,0.5904155373573303,0.4202709496021271,0.0,0.9880917072296143,0.590610146522522,0.4200350046157837,0.0,0.9866153597831726,0.5909181833267212,0.4197624921798706,0.0,0.9877485632896423,0.5981419086456299,0.4237664043903351,0.0,0.9945371150970459,0.5957208275794983,0.42236948013305664,0.0,0.973261833190918,0.5914068818092346,0.4336978495121002,0.0,0.9941853284835815,0.5900630354881287,0.4330737292766571,0.0,0.9889614582061768,0.6035116314888,0.4634057879447937,0.0,0.999903678894043,0.5955484509468079,0.4572654366493225,0.0,0.9973527789115906,0.5929321050643921,0.5106979608535767,0.0,0.9920251369476318,0.5854340195655823,0.49857714772224426,0.0,0.4034801125526428,0.577871561050415,0.5426570773124695,0.0,0.9671847224235535,0.5698758363723755,0.5254923105239868,0.0,0.526513934135437,0.572698175907135,0.552260160446167,0.0,0.9367300868034363,0.5656718015670776,0.5349365472793579,0.0,0.48285341262817383,0.5703638792037964,0.54865562915802,0.0,0.9342565536499023,0.5649443864822388,0.5358928442001343,0.0,0.48771774768829346,0.5720152854919434,0.545943021774292,0.0,0.8948169350624084,0.566703736782074,0.5329052209854126,0.0,0.48781880736351013,0.6013348698616028,0.5516036748886108,0.0,0.9988383650779724,0.5945137143135071,0.545344352722168,0.0,0.9964419603347778,0.5910745859146118,0.6134242415428162,0.0,0.8863106369972229,0.5911499261856079,0.6049467921257019,0.0,0.2648378312587738,0.6030188798904419,0.6818383932113647,0.0,0.9029367566108704,0.5961047410964966,0.6561189293861389,0.0,0.4155748188495636,0.6074968576431274,0.6914789080619812,0.0,0.8957432508468628,0.5995904207229614,0.6712576746940613,0.0,0.5582829713821411,0.5869742035865784,0.6980664730072021,0.0,0.9092922210693359,0.5847441554069519,0.6757541298866272,0.0,0.6387479901313782
